Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad,Fecha-Hora
2018-01-01 00:00:00,AMAZONAS,LETICIA (CT),Lunes,09:45:00,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16.0,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,,SECUNDARIA,91001000.0,1,2018-01-01 09:45:00
2018-01-01 00:00:00,AMAZONAS,LETICIA (CT),Lunes,09:45:00,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17.0,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,,SECUNDARIA,91001000.0,1,2018-01-01 09:45:00
2018-01-01 00:00:00,ANTIOQUIA,ANDES,Lunes,08:30:00,ALTO DEL CEDRON,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5034000.0,1,2018-01-01 08:30:00
2018-01-01 00:00:00,ANTIOQUIA,ANDES,Lunes,02:30:00,PARQUE PRINCIPAL,RURAL,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30.0,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,,PRIMARIA,5034000.0,1,2018-01-01 02:30:00
2018-01-01 00:00:00,ANTIOQUIA,ANORÍ,Lunes,03:30:00,TENCHE,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5040000.0,1,2018-01-01 03:30:00
2018-01-01 00:00:00,ANTIOQUIA,ANORÍ,Lunes,07:40:00,LA GUACAMAYA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,56.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5040000.0,1,2018-01-01 07:40:00
2018-01-01 00:00:00,ANTIOQUIA,ANORÍ,Lunes,05:35:00,PARQUE PRINCIPAL,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25.0,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5040000.0,1,2018-01-01 05:35:00
2018-01-01 00:00:00,ANTIOQUIA,CAUCASIA,Lunes,00:01:00,EL BOSQUE,URBANA,TRAMO DE VIA,CONTUNDENTES,A PIE,A PIE,19.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5154000.0,1,2018-01-01 00:01:00
2018-01-01 00:00:00,ANTIOQUIA,HISPANIA,Lunes,18:30:00,LA CANCHA,URBANA,ESTABLECIMIENTO PUBLICO,ARMA DE FUEGO,A PIE,A PIE,32.0,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO  EN INGENIERIA DE SISTEMAS,TECNOLOGO,5353000.0,1,2018-01-01 18:30:00
2018-01-01 00:00:00,ANTIOQUIA,ITAGUI,Lunes,02:45:00,SANTA MARIA # 2,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5360000.0,1,2018-01-01 02:45:00
2018-01-01 00:00:00,ANTIOQUIA,MEDELLÍN (CT),Lunes,21:28:00,VDA. SAN JOSE S.A.P.,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,21.0,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,5001000.0,1,2018-01-01 21:28:00
2018-01-01 00:00:00,ANTIOQUIA,MEDELLÍN (CT),Lunes,10:39:00,POPULAR 1 C-1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,36.0,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,5001000.0,1,2018-01-01 10:39:00
2018-01-01 00:00:00,ANTIOQUIA,TURBO,Lunes,13:00:00,CGTO. EL DOS,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,43.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,PRIMARIA,5837000.0,1,2018-01-01 13:00:00
2018-01-01 00:00:00,ANTIOQUIA,VEGACHÍ,Lunes,22:50:00,LA GALLINERA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,,SECUNDARIA,5858000.0,1,2018-01-01 22:50:00
2018-01-01 00:00:00,ATLÁNTICO,CANDELARIA,Lunes,05:00:00,EL CARMEN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,8141000.0,1,2018-01-01 05:00:00
2018-01-01 00:00:00,ATLÁNTICO,SOLEDAD,Lunes,01:00:00,CIUDAD PARAISO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,46.0,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,,PRIMARIA,8758000.0,1,2018-01-01 01:00:00
2018-01-01 00:00:00,ATLÁNTICO,SOLEDAD,Lunes,06:45:00,LOS CEDROS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,TECNICO,8758000.0,1,2018-01-01 06:45:00
2018-01-01 00:00:00,BOLÍVAR,CARTAGENA (CT),Lunes,11:30:00,TORICES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,13001000.0,1,2018-01-01 11:30:00
2018-01-01 00:00:00,BOLÍVAR,CARTAGENA (CT),Lunes,01:30:00,LA ESPERANZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,13001000.0,1,2018-01-01 01:30:00
2018-01-01 00:00:00,BOLÍVAR,CARTAGENA (CT),Lunes,00:10:00,LA BOQUILLA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15.0,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,,SECUNDARIA,13001000.0,1,2018-01-01 00:10:00
2018-01-01 00:00:00,BOLÍVAR,CARTAGENA (CT),Lunes,02:20:00,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,,SECUNDARIA,13001000.0,1,2018-01-01 02:20:00
2018-01-01 00:00:00,BOLÍVAR,EL CARMEN DE BOLÍVAR,Lunes,01:40:00,SECTOR EL PARAMO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,51.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,13244000.0,1,2018-01-01 01:40:00
2018-01-01 00:00:00,BOYACÁ,SOGAMOSO,Lunes,03:45:00,EL RECREO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA INDUSTRIAL,SUPERIOR,15759000.0,1,2018-01-01 03:45:00
2018-01-01 00:00:00,CALDAS,MANIZALES (CT),Lunes,04:00:00,BARRIO SAN JOSE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,17001000.0,1,2018-01-01 04:00:00
2018-01-01 00:00:00,CASANARE,SAN LUIS DE PALENQUE,Lunes,08:30:00,INSP. MIRAMAR DEL GUANAPALO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,85325000.0,1,2018-01-01 08:30:00
2018-01-01 00:00:00,CAUCA,EL TAMBO,Lunes,01:30:00,VDA CHISQUIO,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,ANALFABETA,19256000.0,1,2018-01-01 01:30:00
2018-01-01 00:00:00,CAUCA,PAEZ,Lunes,11:30:00,Cacerio Villa del Prado Rio Chiquito,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38.0,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,,PRIMARIA,19517000.0,1,2018-01-01 11:30:00
