Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
2018-01-01,AMAZONAS,LETICIA (CT),Lunes,9,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16.0,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,,SECUNDARIA,91001000.0,1
2018-01-01,AMAZONAS,LETICIA (CT),Lunes,9,ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17.0,MASCULINO,SOLTERO,BRASIL,EMPLEADO PARTICULAR,,SECUNDARIA,91001000.0,1
2018-01-01,ANTIOQUIA,ANDES,Lunes,8,ALTO DEL CEDRON,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5034000.0,1
2018-01-01,ANTIOQUIA,ANDES,Lunes,2,PARQUE PRINCIPAL,RURAL,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30.0,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,,PRIMARIA,5034000.0,1
2018-01-01,ANTIOQUIA,ANORÍ,Lunes,3,TENCHE,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5040000.0,1
2018-01-01,ANTIOQUIA,ANORÍ,Lunes,7,LA GUACAMAYA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,56.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5040000.0,1
2018-01-01,ANTIOQUIA,ANORÍ,Lunes,5,PARQUE PRINCIPAL,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25.0,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5040000.0,1
2018-01-01,ANTIOQUIA,CAUCASIA,Lunes,0,EL BOSQUE,URBANA,TRAMO DE VIA,CONTUNDENTES,A PIE,A PIE,19.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,PRIMARIA,5154000.0,1
2018-01-01,ANTIOQUIA,HISPANIA,Lunes,18,LA CANCHA,URBANA,ESTABLECIMIENTO PUBLICO,ARMA DE FUEGO,A PIE,A PIE,32.0,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO  EN INGENIERIA DE SISTEMAS,TECNOLOGO,5353000.0,1
2018-01-01,ANTIOQUIA,ITAGUI,Lunes,2,SANTA MARIA # 2,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,5360000.0,1
2018-01-01,ANTIOQUIA,MEDELLÍN (CT),Lunes,21,VDA. SAN JOSE S.A.P.,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,21.0,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,5001000.0,1
2018-01-01,ANTIOQUIA,MEDELLÍN (CT),Lunes,10,POPULAR 1 C-1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,36.0,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,5001000.0,1
2018-01-01,ANTIOQUIA,TURBO,Lunes,13,CGTO. EL DOS,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,43.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,PRIMARIA,5837000.0,1
2018-01-01,ANTIOQUIA,VEGACHÍ,Lunes,22,LA GALLINERA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,,SECUNDARIA,5858000.0,1
2018-01-01,ATLÁNTICO,CANDELARIA,Lunes,5,EL CARMEN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,8141000.0,1
2018-01-01,ATLÁNTICO,SOLEDAD,Lunes,1,CIUDAD PARAISO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,46.0,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,,PRIMARIA,8758000.0,1
2018-01-01,ATLÁNTICO,SOLEDAD,Lunes,6,LOS CEDROS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,TECNICO,8758000.0,1
2018-01-01,BOLÍVAR,CARTAGENA (CT),Lunes,11,TORICES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,13001000.0,1
2018-01-01,BOLÍVAR,CARTAGENA (CT),Lunes,1,LA ESPERANZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,13001000.0,1
2018-01-01,BOLÍVAR,CARTAGENA (CT),Lunes,0,LA BOQUILLA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15.0,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,,SECUNDARIA,13001000.0,1
2018-01-01,BOLÍVAR,CARTAGENA (CT),Lunes,2,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18.0,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,,SECUNDARIA,13001000.0,1
2018-01-01,BOLÍVAR,EL CARMEN DE BOLÍVAR,Lunes,1,SECTOR EL PARAMO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,51.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,13244000.0,1
2018-01-01,BOYACÁ,SOGAMOSO,Lunes,3,EL RECREO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,INGENIERÍA INDUSTRIAL,SUPERIOR,15759000.0,1
2018-01-01,CALDAS,MANIZALES (CT),Lunes,4,BARRIO SAN JOSE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,17001000.0,1
2018-01-01,CASANARE,SAN LUIS DE PALENQUE,Lunes,8,INSP. MIRAMAR DEL GUANAPALO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,PRIMARIA,85325000.0,1
2018-01-01,CAUCA,EL TAMBO,Lunes,1,VDA CHISQUIO,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,ANALFABETA,19256000.0,1
2018-01-01,CAUCA,PAEZ,Lunes,11,Cacerio Villa del Prado Rio Chiquito,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38.0,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,,PRIMARIA,19517000.0,1
2018-01-01,CAUCA,POPAYÁN (CT),Lunes,14,MARIA ORIENTE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,19001000.0,1
2018-01-01,CAUCA,POPAYÁN (CT),Lunes,12,EL POBLADO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,PRIMARIA,19001000.0,1
2018-01-01,CAUCA,POPAYÁN (CT),Lunes,5,MARIA ORIENTE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,19001000.0,1
2018-01-01,CAUCA,PUERTO TEJADA,Lunes,8,CARLOS ALBERTO GUZMAN,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,20.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,19573000.0,1
2018-01-01,CHOCÓ,EL CARMEN DE ATRATO,Lunes,10,LA MARIELA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,27245000.0,1
2018-01-01,CÓRDOBA,MONTERÍA (CT),Lunes,4,MOGAMBITO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,39.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,23001000.0,1
2018-01-01,CÓRDOBA,MONTERÍA (CT),Lunes,22,SUCRE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,23001000.0,1
2018-01-01,CÓRDOBA,SAHAGÚN,Lunes,6,BOSQUE BARAJI,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,23660000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,1,SANTA LIBRADA E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22.0,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,5,LOS TRES REYES - I ETAPA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2,SAN ANTONIO E-15,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2,CENTRO USME E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,7,LA PRIMAVERA E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43.0,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,9,SIERRA MORENA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,4,CHUNIZA E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19.0,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,5,GRAN YOMASA E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15.0,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,,SECUNDARIA,11001000.0,1
2018-01-01,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,3,LUIS CARLOS GALAN E-10,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33.0,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,,PRIMARIA,11001000.0,1
